NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
Aaytozee Learning Cove Pte Ltd,Child Care Services,669915,"21, CHU LIN ROAD, BAMBOO GROVE PARK, SINGAPORE 669915",1.35752639569991,103.760075736829,onemap-fc-childcare.png
abc children's place,Child Care Services,520878,"878, TAMPINES AVENUE 8, #01 - 308, SINGAPORE 520878",1.35221186530537,103.931382260515,onemap-fc-childcare.png
ACADEMY KIDZ INC PTE. LTD.,Child Care Services,469004,"750D, CHAI CHEE ROAD, #01 - 01, TECHNOPARK @ CHAI CHEE, SINGAPORE 469004",1.32261197289834,103.92087645805,onemap-fc-childcare.png
ACE @ WORK CHILDCARE PTE LTD,Child Care Services,680703,"703, CHOA CHU KANG STREET 53, #01 - 54, SINGAPORE 680703",1.39131766700979,103.745930764203,onemap-fc-childcare.png
ACE @ WORK EDUCARE PTE LTD,Child Care Services,609915,"9, INTERNATIONAL BUSINESS PARK, MIWORLD, SINGAPORE 609915",1.32480019689786,103.750270958915,onemap-fc-childcare.png
ACE @ WORK EDUCARE PTE LTD,Child Care Services,602288,"288B, JURONG EAST STREET 21, #01 - 378, SINGAPORE 602288",1.33893637239716,103.742880869077,onemap-fc-childcare.png
ACE @ WORK ENRICHMENT PTE LTD,Child Care Services,680757,"757, Choa Chu Kang North 5, #01 - 121/7, SINGAPORE 680757",1.39284800785415,103.74591415964,onemap-fc-childcare.png
ACE@WORK CHILDCARE PTE LTD,Child Care Services,679675,"105, CASHEW ROAD, #01 - 01, CASHEW HEIGHTS CONDOMINIUM, SINGAPORE 679675",1.37346486923426,103.76750951362,onemap-fc-childcare.png
ACEKIDZ @ COMMUNITY,Child Care Services,129605,"2, CLEMENTI WEST ST 2, #03 - 06, WEST COAST COMMUNITY CENTRE, SINGAPORE 129605",1.30264555979077,103.764832077473,onemap-fc-childcare.png
ACEKIDZ @ LAKEVISTA PTE. LTD.,Child Care Services,610138,"138, YUAN CHING ROAD, LAKE VISTA @ YUAN CHING, SINGAPORE 610138",1.32792497933521,103.723339312462,onemap-fc-childcare.png
ACEKIDZ @ SG PTE. LTD.,Child Care Services,611175,"175A, YUNG KUANG ROAD, #01 - 15, SINGAPORE 611175",1.33195221281439,103.721513952913,onemap-fc-childcare.png
ACEKIDZ @ SG PTE. LTD.,Child Care Services,763315,"315C, YISHUN AVENUE 9, #01 - 180, SINGAPORE 763315",1.43236735798877,103.843300867135,onemap-fc-childcare.png
ACEKIDZ @ WORK PTE. LTD.,Child Care Services,683688,"688C, CHOA CHU KANG CRESCENT, #01 - 120, SINGAPORE 683688",1.40318758563322,103.750991227091,onemap-fc-childcare.png
ACEKIDZ CREATIVE EDUCARE,Child Care Services,530924,"924, HOUGANG AVENUE 9, #01 - 60, SINGAPORE 530924",1.37629500191189,103.882146026378,onemap-fc-childcare.png
ACES CHAMPION ENTERPRISE (SINGAPORE) LLP,Child Care Services,416672,"10, LORONG SARINA, SINGAPORE 416672",1.31918790505975,103.908056029081,onemap-fc-childcare.png
ACTIVE LEARNERS CHILD CARE PRIVATE LIMITED,Child Care Services,731306,"306A, WOODLANDS STREET 31, #03 - 03, SINGAPORE 731306",1.43011253000127,103.775081067712,onemap-fc-childcare.png
AGAPE CHILD CARE(CCK) PTE. LTD.,Child Care Services,680789,"789, CHOA CHU KANG NORTH 6, #01 - 224, SINGAPORE 680789",1.3958634546901,103.74904624637,onemap-fc-childcare.png
AGAPE CHILD CARE(JW) PTE. LTD.,Child Care Services,644274,"274D, JURONG WEST AVENUE 3, #01 - 99, SINGAPORE 644274",1.35219891772968,103.704379938239,onemap-fc-childcare.png
AGAPE CHILD CARE(SK) PTE. LTD.,Child Care Services,542325,"325B, SENGKANG EAST WAY, #01 - 655, SINGAPORE 542325",1.39290848701227,103.890675457222,onemap-fc-childcare.png
AGAPE KIDS CAMPUS LLP,Child Care Services,679539,"1, CASHEW TERRACE, CASHEW ESTATE, SINGAPORE 679539",1.37043827106315,103.765306342302,onemap-fc-childcare.png
AGAPE LITTLE UNI (KALLANG) PTE. LTD.,Child Care Services,380005,"5, UPPER BOON KENG ROAD, #02 - 20, MULTI STOREY CAR PARK, SINGAPORE 380005",1.3126401394536,103.872491879522,onemap-fc-childcare.png
