NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
NTUC FAIRPRICE CO-OPERATIVE LTD,CE09H10X000,180,KITCHENER ROAD,9/10,208539,1.31139349438913,103.856487121487,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE11F41C000,150,SILAT AVENUE,44,160150,1.2770770759001,103.831425859726,supermarketlogo.jpg
"JEWISH WELFARE BOARD, SINGAPORE, THE",CE11H82X000,24,WATERLOO STREET,1,187950,1.29827328917638,103.850599507143,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE11M39P000,6,SCOTTS ROAD,NA,228209,1.30585583497044,103.832984361905,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE11N90C000,712,ANG MO KIO AVENUE 6,4056,560712,1.37140920462192,103.847082884002,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE12H50C000,100,TRAS STREET,1,79027,1.27458822422728,103.843470740865,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE13O90C000,20,AH HOOD ROAD,1,329984,1.3270848591504,103.846476465683,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE13R25C000,447A,JALAN KAYU,2,791447,1.3921382839313,103.872490556756,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE13Z03L000,3,TEMASEK BOULEVARD,NA,38983,1.29487905112125,103.857675501543,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE13Z98K000,808,FRENCH ROAD,1,200808,1.30880609469533,103.861311961994,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE14G71E000,16,ENGGOR STREET,NA,79717,1.27461794177448,103.8443195557,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE14L50J000,33,SENGKANG WEST AVENUE,24,797653,1.39139305725169,103.876067662182,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE15695V000,279,SENGKANG EAST AVENUE,6,540279,1.38621835288115,103.892995500981,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE15G35E000,20,LENGKOK BAHRU,13,159053,1.28668027234677,103.813766343919,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE16K18V000,574,ANG MO KIO AVENUE 10,1847,560574,1.3708945610762,103.856396513475,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE17E43B000,410A,SIN MING AVENUE,2,571410,1.36321586107786,103.835445360583,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE17K55B000,30,BENDEMEER ROAD,871,330030,1.31909344185792,103.86390532629,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,CE17L02A000,95,LORONG 4 TOA PAYOH,68,310095,1.33889072011391,103.848993319083,supermarketlogo.jpg
SF (313) PTE. LTD.,CE17P14L000,3,TEMASEK BOULEVARD,616,38983,1.29487905112125,103.857675501543,supermarketlogo.jpg
YOUR GROCER PRIVATE LIMITED,CE18R71X000,34,JALAN BUKIT HO SWEE,870,160034,1.28807688301773,103.827081283638,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE18T11J000,8A,MARINA BOULEVARD,44-50,18984,1.28022768611886,103.853349301911,supermarketlogo.jpg
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,CE18T88K000,180,KITCHENER ROAD,6,208539,1.31139349438913,103.856487121487,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,E02034P000,114,ALJUNIED AVENUE 2,75,380114,1.32176644586798,103.886672786663,supermarketlogo.jpg
