school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,No,No,1.28595540299542,103.815228209494
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,No,No,1.31747682664316,103.883902821362
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,No,No,1.35711606790292,103.949144797277
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,No,No,1.39600211828423,103.913020462134
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,No,No,1.38593108948507,103.767803387989
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,No,No,1.43989958331782,103.804725587384
GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,No,No,1.34569011530238,103.849453239895
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,No,No,1.31173085411355,103.903061519804
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,No,Yes,1.31667646178347,103.784296227747
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,Yes,No,1.36700366732013,103.89424605689
HONG WEN SCHOOL,30   TOWNER ROAD,327829,Yes,No,1.32175999964553,103.857628468881
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,No,No,1.399550034492,103.913404855665
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,No,No,1.37737530954806,103.880900019698
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,No,No,1.42695886300879,103.844209671353
INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,No,No,1.42896700684852,103.790607539185
JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,No,No,1.42768847665227,103.830425490093
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,No,No,1.37223290983498,103.852132214306
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,No,No,1.34787050871599,103.939327626661
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,No,No,1.3486127256626,103.732953394774
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,No,No,1.33971273175894,103.698743607058
JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,No,No,1.3388763709006,103.687889547387
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,No,No,1.34506349843091,103.75592322797
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,No,No,1.3373381935639,103.847148501824
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,Yes,No,1.31094193836138,103.888259342632
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,No,No,1.39418496446376,103.747412309639
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,No,No,1.34939813669536,103.855018233311
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,No,No,1.33820397704287,103.718089546664
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,No,No,1.35424191127295,103.754165828711
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,Yes,No,1.32847086658384,103.901298737314
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,No,No,1.43392876015922,103.773637073788
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,No,No,1.34036676987375,103.840021064426
MAYFLOWER PRIMARY SCHOOL,6    Ang Mo Kio Avenue 2,569948,No,No,1.37614621670476,103.835805246743
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,No,No,1.3946184538592,103.908589494228
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,No,No,1.37552831658484,103.934889078518
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,No,No,1.33294800935714,103.783393009829
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,No,No,1.37362445234082,103.889741457901
"NAN CHIAU PRIMARY SCHOOL",50   ANCHORVALE LINK,545080,No,No,1.39221149906592,103.891180928186
"NAN HUA PRIMARY SCHOOL",30   Jalan Lempeng,128806,Yes,Yes,1.31920159956387,103.761095065761
"NANYANG PRIMARY SCHOOL",52   KING'S ROAD,268097,Yes,Yes,1.32084749904532,103.807750155296
"NAVAL BASE PRIMARY SCHOOL",7    YISHUN AVE 4,769028,No,No,1.41630663159387,103.838794077233
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,No,No,1.29981138884057,103.799964819895
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,No,No,1.30553224180437,103.917570005713
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,No,No,1.38706146494859,103.903202683028
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,No,No,1.42752327193727,103.848190787869
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,No,No,1.38289339218536,103.895854162476
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,No,No,1.42130404159807,103.840792923345
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,No,No,1.45660782030102,103.814196981329
NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,No,No,1.41813803336667,103.904416909742
