NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
PCF Sparkletots Preschool @ Serangoon Blk 226 (KN),Kindergartens,550226,226 Serangoon Avenue 4  #01-149 S(550226),1.35682204868595,103.870855823643,school.gif
PCF Sparkletots Preschool @ Siglap Blk 170 (KN),Kindergartens,460170,170 Bedok South Road  #01-354 S(460170),1.32072009894001,103.946111071896,school.gif
PCF Sparkletots Preschool @ Taman Jurong Blk 352 (DS),Kindergartens,610352,352 Kang Ching Road Blk 355 #01-71 S(610352),1.33936578311752,103.720184389053,school.gif
PCF Sparkletots Preschool @ Tampines Central Blk 725 (DS),Kindergartens,520725,"725 Tampines Street 71 Blk 726, 86 #01-179 S(520725)",1.3569845022809,103.935334498647,school.gif
PCF Sparkletots Preschool @ Tampines Central Blk 856 (KN),Kindergartens,520856,856 Tampines Street 82 Blk 854 #01-279 S(520856),1.35344323889156,103.936557639581,school.gif
PCF Sparkletots Preschool @ Tampines Central Blk 868A (KN),Kindergartens,520868,868A Tampines Avenue 8  #01-534 S(520868),1.35477615923053,103.933979621553,school.gif
PCF Sparkletots Preschool @ Tampines East Blk 261 (KN),Kindergartens,520261,261 Tampines Street 21  #01-300 S(520261),1.35430348301925,103.950965479305,school.gif
PCF Sparkletots Preschool @ Tampines East Blk 262 (DS),Kindergartens,520262,262 Tampines Street 21  #01-272 S(520262),1.35375663739036,103.950970405822,school.gif
PCF Sparkletots Preschool @ Tampines North Blk 483 (KN),Kindergartens,520483,483 Tampines Street 43  #01-202 S(520483),1.36143339610089,103.952685913395,school.gif
PCF Sparkletots Preschool @ Tampines West Blk 140 (DS),Kindergartens,520140,140 Tampines Street 12 Blk 938 #01-426 S(520140),1.34755779198494,103.943814803455,school.gif
PCF Sparkletots Preschool @ Tampines-Changkat Blk 106 (DS),Kindergartens,521106,106 Tampines Street 11  #01-333 S(521106),1.34753917636957,103.947675434971,school.gif
PCF Sparkletots Preschool @ Marsiling Blk 32 (KN),Kindergartens,730032,32 Marsiling Drive Blk 3 #01-343 S(730032),1.44337609505476,103.772918125345,school.gif
PCF Sparkletots Preschool @ Moulmein-Cairnhill Blk 10 (DS),Kindergartens,210010,10 Gloucester Road Blk 52 #01-33 S(210010),1.31391658403565,103.852209772221,school.gif
PCF Sparkletots Preschool @ Mountbatten Blk 51 (KN),Kindergartens,390051,51 Old Airport Road  #02-01 S(390051),1.30810981335455,103.885731691492,school.gif
PCF Sparkletots Preschool @ Nanyang Blk 934 (KN),Kindergartens,640934,934 Jurong West Street 91  #01-329 S(640934),1.34223794158475,103.688737681877,school.gif
PCF Sparkletots Preschool @ Nee Soon Central Blk 646 (DS),Kindergartens,760646,646 Yishun Street 61 Blk 644 #01-354 S(760646),1.42211202299165,103.837491394187,school.gif
PCF Sparkletots Preschool @ Nee Soon Central Blk 737 (KN),Kindergartens,760737,737 Yishun Street 72  #01-99 S(760737),1.42897509015293,103.832444561184,school.gif
PCF Sparkletots Preschool @ Nee Soon East Blk 223 (KN),Kindergartens,760223,223 Yishun St 21 Blk 225 #01-520 S(760223),1.43436726615481,103.83560269,school.gif
PCF Sparkletots Preschool @ Nee Soon East Blk 367 (EY),Kindergartens,760367,367 Yishun Ring Road  #01-1534 S(760367),1.42959194362714,103.845121450591,school.gif
